company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ITC,Mar-23,+,+,+,Other
ITC,Mar-24,+,+,+,Other
JINDALSTEL,Mar-13,+,+,+,Other
JINDALSTEL,Mar-14,+,+,+,Other
JINDALSTEL,Mar-15,+,+,+,Other
JINDALSTEL,Mar-16,+,+,+,Other
JINDALSTEL,Mar-17,+,+,+,Other
JINDALSTEL,Mar-18,+,+,+,Other
JINDALSTEL,Mar-19,+,+,+,Other
JINDALSTEL,Mar-20,+,+,+,Other
JINDALSTEL,Mar-21,+,+,+,Other
JINDALSTEL,Mar-22,+,+,+,Other
JINDALSTEL,Mar-23,+,+,+,Other
JINDALSTEL,Mar-24,+,+,+,Other
JIOFIN,Mar-23,+,+,+,Other
JIOFIN,Mar-24,-,+,+,Distress
JSWENERGY,Mar-13,+,+,+,Other
JSWENERGY,Mar-14,+,+,+,Other
JSWENERGY,Mar-15,+,+,+,Other
JSWENERGY,Mar-16,+,+,+,Other
JSWENERGY,Mar-17,+,+,+,Other
JSWENERGY,Mar-18,+,+,+,Other
JSWENERGY,Mar-19,+,+,+,Other
JSWENERGY,Mar-20,+,+,+,Other
JSWENERGY,Mar-21,+,+,+,Other
JSWENERGY,Mar-22,+,+,+,Other
JSWENERGY,Mar-23,+,+,+,Other
JSWENERGY,Mar-24,+,+,+,Other
JSWSTEEL,Mar-13,+,+,+,Other
JSWSTEEL,Mar-14,+,+,+,Other
JSWSTEEL,Mar-15,+,+,+,Other
JSWSTEEL,Mar-16,+,+,+,Other
JSWSTEEL,Mar-17,+,+,+,Other
JSWSTEEL,Mar-18,+,+,+,Other
JSWSTEEL,Mar-19,+,+,+,Other
JSWSTEEL,Mar-20,+,+,+,Other
JSWSTEEL,Mar-21,+,+,+,Other
JSWSTEEL,Mar-22,+,+,+,Other
JSWSTEEL,Mar-23,+,+,+,Other
JSWSTEEL,Mar-24,+,+,+,Other
KOTAKBANK,Mar-13,+,+,+,Other
KOTAKBANK,Mar-14,+,+,+,Other
KOTAKBANK,Mar-15,+,+,+,Other
KOTAKBANK,Mar-16,+,+,+,Other
KOTAKBANK,Mar-17,+,+,+,Other
KOTAKBANK,Mar-18,-,+,+,Distress
KOTAKBANK,Mar-19,+,+,+,Other
KOTAKBANK,Mar-20,+,+,+,Other
KOTAKBANK,Mar-21,+,+,+,Other
KOTAKBANK,Mar-22,+,+,+,Other
KOTAKBANK,Mar-23,-,+,+,Distress
KOTAKBANK,Mar-24,+,+,+,Other
LICI,Mar-19,+,+,+,Other
LICI,Mar-20,+,+,+,Other
LICI,Mar-21,+,+,+,Other
LICI,Mar-22,-,+,+,Distress
LICI,Mar-23,+,+,+,Other
LICI,Mar-24,+,+,+,Other
LODHA,Mar-16,+,+,+,Other
LODHA,Mar-17,+,+,+,Other
LODHA,Mar-18,+,+,+,Other
LODHA,Mar-19,-,+,+,Distress
LODHA,Mar-20,+,+,+,Other
LODHA,Mar-21,+,+,+,Other
LODHA,Mar-22,+,+,+,Other
LODHA,Mar-23,+,+,+,Other
LODHA,Mar-24,+,+,+,Other
LT,Mar-13,-,+,+,Distress
LT,Mar-14,-,+,+,Distress
LT,Mar-15,-,+,+,Distress
LT,Mar-16,-,+,+,Distress
LT,Mar-17,+,+,+,Other
LT,Mar-18,-,+,+,Distress
LT,Mar-19,-,+,+,Distress
LT,Mar-20,+,+,+,Other
LT,Mar-21,+,+,+,Other
LT,Mar-22,+,+,+,Other
LT,Mar-23,+,+,+,Other
LT,Mar-24,+,+,+,Other
LTIM,Mar-13,+,+,+,Other
LTIM,Mar-14,+,+,+,Other
LTIM,Mar-15,+,+,+,Other
LTIM,Mar-16,+,+,+,Other
LTIM,Mar-17,+,+,+,Other
LTIM,Mar-18,+,+,+,Other
LTIM,Mar-19,+,+,+,Other
LTIM,Mar-20,+,+,+,Other
LTIM,Mar-21,+,+,+,Other
LTIM,Mar-22,+,+,+,Other
LTIM,Mar-23,+,+,+,Other
LTIM,Mar-24,+,+,+,Other
M&M,Mar-13,-,+,+,Distress
M&M,Mar-14,-,+,+,Distress
M&M,Mar-15,+,+,+,Other
M&M,Mar-16,+,+,+,Other
M&M,Mar-17,+,+,+,Other
M&M,Mar-18,+,+,+,Other
M&M,Mar-19,-,+,+,Distress
M&M,Mar-20,-,+,+,Distress
M&M,Mar-21,+,+,+,Other
M&M,Mar-22,+,+,+,Other
M&M,Mar-23,-,+,+,Distress
M&M,Mar-24,-,+,+,Distress
MARUTI,Mar-13,+,+,+,Other
MARUTI,Mar-14,+,+,+,Other
MARUTI,Mar-15,+,+,+,Other
MARUTI,Mar-16,+,+,+,Other
MARUTI,Mar-17,+,+,+,Other
MARUTI,Mar-18,+,+,+,Other
MARUTI,Mar-19,+,+,+,Other
MARUTI,Mar-20,+,+,+,Other
MARUTI,Mar-21,+,+,+,Other
MARUTI,Mar-22,+,+,+,Other
MARUTI,Mar-23,+,+,+,Other
MARUTI,Mar-24,+,+,+,Other
MOTHERSON,Mar-13,+,+,+,Other
MOTHERSON,Mar-14,+,+,+,Other
MOTHERSON,Mar-15,+,+,+,Other
MOTHERSON,Mar-16,+,+,+,Other
MOTHERSON,Mar-17,+,+,+,Other
MOTHERSON,Mar-18,+,+,+,Other
MOTHERSON,Mar-19,+,+,+,Other
MOTHERSON,Mar-20,+,+,+,Other
MOTHERSON,Mar-21,+,+,+,Other
MOTHERSON,Mar-22,+,+,+,Other
MOTHERSON,Mar-23,+,+,+,Other
MOTHERSON,Mar-24,+,+,+,Other
NAUKRI,Mar-13,+,+,+,Other
NAUKRI,Mar-14,+,+,+,Other
NAUKRI,Mar-15,+,+,+,Other
NAUKRI,Mar-16,+,+,+,Other
NAUKRI,Mar-17,+,+,+,Other
NAUKRI,Mar-18,+,+,+,Other
NAUKRI,Mar-19,+,+,+,Other
NAUKRI,Mar-20,+,+,+,Other
NAUKRI,Mar-21,+,+,+,Other
NAUKRI,Mar-22,+,+,+,Other
NAUKRI,Mar-23,+,+,+,Other
NAUKRI,Mar-24,+,+,+,Other
NESTLEIND,Dec-13,+,+,+,Other
NESTLEIND,Dec-14,+,+,+,Other
NESTLEIND,Dec-15,+,+,+,Other
NESTLEIND,Dec-16,+,+,+,Other
NESTLEIND,Dec-17,+,+,+,Other
NESTLEIND,Dec-18,+,+,+,Other
NESTLEIND,Dec-19,+,+,+,Other
NESTLEIND,Dec-20,+,+,+,Other
NESTLEIND,Dec-21,+,+,+,Other
NESTLEIND,Dec-22,+,+,+,Other
NESTLEIND,Dec-23,+,+,+,Other
NESTLEIND,Mar-24,+,+,+,Other
NHPC,Mar-13,+,+,+,Other
NHPC,Mar-14,+,+,+,Other
NHPC,Mar-15,+,+,+,Other
NHPC,Mar-16,+,+,+,Other
NHPC,Mar-17,+,+,+,Other
NHPC,Mar-18,+,+,+,Other
NHPC,Mar-19,+,+,+,Other
NHPC,Mar-20,+,+,+,Other
NHPC,Mar-21,+,+,+,Other
NHPC,Mar-22,+,+,+,Other
NHPC,Mar-23,+,+,+,Other
NHPC,Mar-24,+,+,+,Other
NTPC,Mar-13,+,+,+,Other
NTPC,Mar-14,+,+,+,Other
NTPC,Mar-15,+,+,+,Other
NTPC,Mar-16,+,+,+,Other
NTPC,Mar-17,+,+,+,Other
NTPC,Mar-18,+,+,+,Other
NTPC,Mar-19,+,+,+,Other
NTPC,Mar-20,+,+,+,Other
NTPC,Mar-21,+,+,+,Other
NTPC,Mar-22,+,+,+,Other
NTPC,Mar-23,+,+,+,Other
NTPC,Mar-24,+,+,+,Other
ONGC,Mar-13,+,+,+,Other
ONGC,Mar-14,+,+,+,Other
ONGC,Mar-15,+,+,+,Other
ONGC,Mar-16,+,+,+,Other
ONGC,Mar-17,+,+,+,Other
ONGC,Mar-18,+,+,+,Other
ONGC,Mar-19,+,+,+,Other
ONGC,Mar-20,+,+,+,Other
ONGC,Mar-21,+,+,+,Other
ONGC,Mar-22,+,+,+,Other
ONGC,Mar-23,+,+,+,Other
ONGC,Mar-24,+,+,+,Other
PFC,Mar-13,-,+,+,Distress
PFC,Mar-14,-,+,+,Distress
PFC,Mar-15,-,+,+,Distress
PFC,Mar-16,-,+,+,Distress
PFC,Mar-17,+,+,+,Other
PFC,Mar-18,-,+,+,Distress
PFC,Mar-19,-,+,+,Distress
PFC,Mar-20,-,+,+,Distress
PFC,Mar-21,-,+,+,Distress
PFC,Mar-22,+,+,+,Other
PFC,Mar-23,-,+,+,Distress
PFC,Mar-24,-,+,+,Distress
PIDILITIND,Mar-13,+,+,+,Other
PIDILITIND,Mar-14,+,+,+,Other
PIDILITIND,Mar-15,+,+,+,Other
PIDILITIND,Mar-16,+,+,+,Other
PIDILITIND,Mar-17,+,+,+,Other
PIDILITIND,Mar-18,+,+,+,Other
PIDILITIND,Mar-19,+,+,+,Other
PIDILITIND,Mar-20,+,+,+,Other
PIDILITIND,Mar-21,+,+,+,Other
PIDILITIND,Mar-22,+,+,+,Other
PIDILITIND,Mar-23,+,+,+,Other
PIDILITIND,Mar-24,+,+,+,Other
PNB,Mar-13,-,+,+,Distress
PNB,Mar-14,+,+,+,Other
PNB,Mar-15,+,+,+,Other
PNB,Mar-16,+,+,+,Other
PNB,Mar-17,+,+,+,Other
PNB,Mar-18,-,+,+,Distress
PNB,Mar-19,-,+,+,Distress
PNB,Mar-20,-,+,+,Distress
PNB,Mar-21,+,+,+,Other
PNB,Mar-22,+,+,+,Other
PNB,Mar-23,+,+,+,Other
PNB,Mar-24,-,+,+,Distress
POWERGRID,Mar-13,+,+,+,Other
POWERGRID,Mar-14,+,+,+,Other
POWERGRID,Mar-15,+,+,+,Other
POWERGRID,Mar-16,+,+,+,Other
POWERGRID,Mar-17,+,+,+,Other
POWERGRID,Mar-18,+,+,+,Other
POWERGRID,Mar-19,+,+,+,Other
POWERGRID,Mar-20,+,+,+,Other
POWERGRID,Mar-21,+,+,+,Other
POWERGRID,Mar-22,+,+,+,Other
POWERGRID,Mar-23,+,+,+,Other
POWERGRID,Mar-24,+,+,+,Other
RECLTD,Mar-13,-,+,+,Distress
RECLTD,Mar-14,-,+,+,Distress
RECLTD,Mar-15,-,+,+,Distress
RECLTD,Mar-16,-,+,+,Distress
RECLTD,Mar-17,+,+,+,Other
RECLTD,Mar-18,-,+,+,Distress
RECLTD,Mar-19,-,+,+,Distress
RECLTD,Mar-20,-,+,+,Distress
RECLTD,Mar-21,-,+,+,Distress
RECLTD,Mar-22,-,+,+,Distress
RECLTD,Mar-23,-,+,+,Distress
RECLTD,Mar-24,-,+,+,Distress
RELIANCE,Mar-13,+,+,+,Other
RELIANCE,Mar-14,+,+,+,Other
RELIANCE,Mar-15,+,+,+,Other
RELIANCE,Mar-16,+,+,+,Other
RELIANCE,Mar-17,+,+,+,Other
RELIANCE,Mar-18,+,+,+,Other
RELIANCE,Mar-19,+,+,+,Other
RELIANCE,Mar-20,+,+,+,Other
RELIANCE,Mar-21,+,+,+,Other
RELIANCE,Mar-22,+,+,+,Other
RELIANCE,Mar-23,+,+,+,Other
RELIANCE,Mar-24,+,+,+,Other
SBILIFE,Mar-13,+,+,+,Other
SBILIFE,Mar-14,+,+,+,Other
SBILIFE,Mar-15,+,+,+,Other
SBILIFE,Mar-16,+,+,+,Other
SBILIFE,Mar-17,+,+,+,Other
SBILIFE,Mar-18,+,+,+,Other
SBILIFE,Mar-19,+,+,+,Other
SBILIFE,Mar-20,+,+,+,Other
SBILIFE,Mar-21,+,+,+,Other
SBILIFE,Mar-22,+,+,+,Other
SBILIFE,Mar-23,+,+,+,Other
SBILIFE,Mar-24,+,+,+,Other
SBIN,Mar-13,-,+,+,Distress
SBIN,Mar-14,-,+,+,Distress
SBIN,Mar-15,-,+,+,Distress
SBIN,Mar-16,-,+,+,Distress
SBIN,Mar-17,-,+,+,Distress
SBIN,Mar-18,-,+,+,Distress
SBIN,Mar-19,-,+,+,Distress
SBIN,Mar-20,-,+,+,Distress
SBIN,Mar-21,-,+,+,Distress
SBIN,Mar-22,-,+,+,Distress
SBIN,Mar-23,-,+,+,Distress
SBIN,Mar-24,-,+,+,Distress
SHREECEM,Jun-13,+,+,+,Other
SHREECEM,Jun-14,+,+,+,Other
SHREECEM,Jun-15,+,+,+,Other
SHREECEM,Mar-16,-,+,+,Distress
SHREECEM,Mar-17,+,+,+,Other
SHREECEM,Mar-18,+,+,+,Other
SHREECEM,Mar-19,+,+,+,Other
SHREECEM,Mar-20,+,+,+,Other
SHREECEM,Mar-21,+,+,+,Other
SHREECEM,Mar-22,+,+,+,Other
SHREECEM,Mar-23,+,+,+,Other
SHREECEM,Mar-24,+,+,+,Other
SHRIRAMFIN,Mar-13,-,+,+,Distress
SHRIRAMFIN,Mar-14,-,+,+,Distress
SHRIRAMFIN,Mar-15,-,+,+,Distress
SHRIRAMFIN,Mar-16,-,+,+,Distress
SHRIRAMFIN,Mar-17,-,+,+,Distress
SHRIRAMFIN,Mar-18,-,+,+,Distress
SHRIRAMFIN,Mar-19,-,+,+,Distress
SHRIRAMFIN,Mar-20,-,+,+,Distress
SHRIRAMFIN,Mar-21,-,+,+,Distress
SHRIRAMFIN,Mar-22,-,+,+,Distress
SHRIRAMFIN,Mar-23,-,+,+,Distress
SHRIRAMFIN,Mar-24,-,+,+,Distress
SIEMENS,Sep-2011,+,+,+,Other
SIEMENS,Sep-14,+,+,+,Other
SIEMENS,Sep-15,+,+,+,Other
SIEMENS,Sep-16,+,+,+,Other
SIEMENS,Sep-17,+,+,+,Other
SIEMENS,Sep-18,+,+,+,Other
SIEMENS,Sep-19,+,+,+,Other
SIEMENS,Sep-20,+,+,+,Other
SIEMENS,Sep-21,+,+,+,Other
SIEMENS,Sep-22,+,+,+,Other
SIEMENS,Sep-23,+,+,+,Other
SIEMENS,Sep-24,+,+,+,Other
SUNPHARMA,Mar-13,+,+,+,Other
SUNPHARMA,Mar-14,+,+,+,Other
SUNPHARMA,Mar-15,+,+,+,Other
SUNPHARMA,Mar-16,+,+,+,Other
SUNPHARMA,Mar-17,+,+,+,Other
SUNPHARMA,Mar-18,+,+,+,Other
SUNPHARMA,Mar-19,+,+,+,Other
SUNPHARMA,Mar-20,+,+,+,Other
SUNPHARMA,Mar-21,+,+,+,Other
SUNPHARMA,Mar-22,+,+,+,Other
SUNPHARMA,Mar-23,+,+,+,Other
SUNPHARMA,Mar-24,+,+,+,Other
TATACONSUM,Mar-13,+,+,+,Other
TATACONSUM,Mar-14,+,+,+,Other
TATACONSUM,Mar-15,+,+,+,Other
TATACONSUM,Mar-16,+,+,+,Other
TATACONSUM,Mar-17,+,+,+,Other
TATACONSUM,Mar-18,+,+,+,Other
TATACONSUM,Mar-19,+,+,+,Other
TATACONSUM,Mar-20,+,+,+,Other
TATACONSUM,Mar-21,+,+,+,Other
TATACONSUM,Mar-22,+,+,+,Other
TATACONSUM,Mar-23,+,+,+,Other
TATACONSUM,Mar-24,+,+,+,Other
TATAMOTORS,Mar-13,+,+,+,Other
TATAMOTORS,Mar-14,+,+,+,Other
TATAMOTORS,Mar-15,+,+,+,Other
TATAMOTORS,Mar-16,+,+,+,Other
TATAMOTORS,Mar-17,+,+,+,Other
TATAMOTORS,Mar-18,+,+,+,Other
TATAMOTORS,Mar-19,+,+,+,Other
TATAMOTORS,Mar-20,+,+,+,Other
TATAMOTORS,Mar-21,+,+,+,Other
TATAMOTORS,Mar-22,+,+,+,Other
TATAMOTORS,Mar-23,+,+,+,Other
TATAMOTORS,Mar-24,+,+,+,Other
TATAPOWER,Mar-13,+,+,+,Other
TATAPOWER,Mar-14,+,+,+,Other
TATAPOWER,Mar-15,+,+,+,Other
TATAPOWER,Mar-16,+,+,+,Other
TATAPOWER,Mar-17,+,+,+,Other
TATAPOWER,Mar-18,+,+,+,Other
TATAPOWER,Mar-19,+,+,+,Other
TATAPOWER,Mar-20,+,+,+,Other
TATAPOWER,Mar-21,+,+,+,Other
TATAPOWER,Mar-22,+,+,+,Other
TATAPOWER,Mar-23,+,+,+,Other
TATAPOWER,Mar-24,+,+,+,Other
TATASTEEL,Mar-13,+,+,+,Other
TATASTEEL,Mar-14,+,+,+,Other
TATASTEEL,Mar-15,+,+,+,Other
TATASTEEL,Mar-16,+,+,+,Other
TATASTEEL,Mar-17,+,+,+,Other
TATASTEEL,Mar-18,+,+,+,Other
TATASTEEL,Mar-19,+,+,+,Other
TATASTEEL,Mar-20,+,+,+,Other
TATASTEEL,Mar-21,+,+,+,Other
TATASTEEL,Mar-22,+,+,+,Other
TATASTEEL,Mar-23,+,+,+,Other
TATASTEEL,Mar-24,+,+,+,Other
TECHM,Mar-13,+,+,+,Other
TECHM,Mar-14,+,+,+,Other
TECHM,Mar-15,+,+,+,Other
TECHM,Mar-16,+,+,+,Other
TECHM,Mar-17,+,+,+,Other
TECHM,Mar-18,+,+,+,Other
TECHM,Mar-19,+,+,+,Other
TECHM,Mar-20,+,+,+,Other
TECHM,Mar-21,+,+,+,Other
TECHM,Mar-22,+,+,+,Other
TECHM,Mar-23,+,+,+,Other
TECHM,Mar-24,+,+,+,Other
TITAN,Mar-13,+,+,+,Other
TITAN,Mar-14,-,+,+,Distress
TITAN,Mar-15,+,+,+,Other
TITAN,Mar-16,+,+,+,Other
TITAN,Mar-17,+,+,+,Other
TITAN,Mar-18,-,+,+,Distress
TITAN,Mar-19,+,+,+,Other
TITAN,Mar-20,-,+,+,Distress
TITAN,Mar-21,+,+,+,Other
TITAN,Mar-22,-,+,+,Distress
TITAN,Mar-23,+,+,+,Other
TITAN,Mar-24,+,+,+,Other
TORNTPHARM,Mar-13,+,+,+,Other
TORNTPHARM,Mar-14,+,+,+,Other
TORNTPHARM,Mar-15,+,+,+,Other
TORNTPHARM,Mar-16,+,+,+,Other
TORNTPHARM,Mar-17,+,+,+,Other
TORNTPHARM,Mar-18,+,+,+,Other
TORNTPHARM,Mar-19,+,+,+,Other
TORNTPHARM,Mar-20,+,+,+,Other
TORNTPHARM,Mar-21,+,+,+,Other
TORNTPHARM,Mar-22,+,+,+,Other
TORNTPHARM,Mar-23,+,+,+,Other
TORNTPHARM,Mar-24,+,+,+,Other
TRENT,Mar-13,+,+,+,Other
TRENT,Mar-14,-,+,+,Distress
TRENT,Mar-15,-,+,+,Distress
TRENT,Mar-16,+,+,+,Other
TRENT,Mar-17,+,+,+,Other
TRENT,Mar-18,+,+,+,Other
TRENT,Mar-19,+,+,+,Other
TRENT,Mar-20,+,+,+,Other
TRENT,Mar-21,+,+,+,Other
TRENT,Mar-22,+,+,+,Other
TRENT,Mar-23,+,+,+,Other
TRENT,Mar-24,+,+,+,Other
TVSMOTOR,Mar-13,+,+,+,Other
TVSMOTOR,Mar-14,+,+,+,Other
TVSMOTOR,Mar-15,+,+,+,Other
TVSMOTOR,Mar-16,+,+,+,Other
TVSMOTOR,Mar-17,+,+,+,Other
TVSMOTOR,Mar-18,+,+,+,Other
TVSMOTOR,Mar-19,-,+,+,Distress
TVSMOTOR,Mar-20,+,+,+,Other
TVSMOTOR,Mar-21,+,+,+,Other
TVSMOTOR,Mar-22,-,+,+,Distress
TVSMOTOR,Mar-23,-,+,+,Distress
TVSMOTOR,Mar-24,-,+,+,Distress
ULTRACEMCO,Mar-13,+,+,+,Other
ULTRACEMCO,Mar-14,+,+,+,Other
ULTRACEMCO,Mar-15,+,+,+,Other
ULTRACEMCO,Mar-16,+,+,+,Other
ULTRACEMCO,Mar-17,+,+,+,Other
ULTRACEMCO,Mar-18,+,+,+,Other
ULTRACEMCO,Mar-19,+,+,+,Other
ULTRACEMCO,Mar-20,+,+,+,Other
ULTRACEMCO,Mar-21,+,+,+,Other
ULTRACEMCO,Mar-22,+,+,+,Other
ULTRACEMCO,Mar-23,+,+,+,Other
ULTRACEMCO,Mar-24,+,+,+,Other
UNIONBANK,Mar-13,-,+,+,Distress
UNIONBANK,Mar-14,+,+,+,Other
UNIONBANK,Mar-15,-,+,+,Distress
UNIONBANK,Mar-16,+,+,+,Other
UNIONBANK,Mar-17,-,+,+,Distress
UNIONBANK,Mar-18,+,+,+,Other
UNIONBANK,Mar-19,-,+,+,Distress
UNIONBANK,Mar-20,-,+,+,Distress
UNIONBANK,Mar-21,+,+,+,Other
UNIONBANK,Mar-22,+,+,+,Other
UNIONBANK,Mar-23,+,+,+,Other
UNIONBANK,Mar-24,+,+,+,Other
UNITDSPR,Mar-13,-,+,+,Distress
UNITDSPR,Mar-14,-,+,+,Distress
UNITDSPR,Mar-15,-,+,+,Distress
UNITDSPR,Mar-16,-,+,+,Distress
UNITDSPR,Mar-17,-,+,+,Distress
UNITDSPR,Mar-18,-,+,+,Distress
UNITDSPR,Mar-19,-,+,+,Distress
UNITDSPR,Mar-20,-,+,+,Distress
UNITDSPR,Mar-21,-,+,+,Distress
UNITDSPR,Mar-22,-,+,+,Distress
UNITDSPR,Mar-23,-,+,+,Distress
UNITDSPR,Mar-24,-,+,+,Distress
VBL,Dec-12,-,+,+,Distress
VBL,Dec-13,-,+,+,Distress
VBL,Dec-14,-,+,+,Distress
VBL,Dec-15,-,+,+,Distress
VBL,Dec-16,-,+,+,Distress
VBL,Dec-17,-,+,+,Distress
VBL,Dec-18,-,+,+,Distress
VBL,Dec-19,-,+,+,Distress
VBL,Dec-20,-,+,+,Distress
VBL,Dec-21,-,+,+,Distress
VBL,Dec-22,-,+,+,Distress
VBL,Dec-23,-,+,+,Distress
VEDL,Mar-13,-,+,+,Distress
VEDL,Mar-14,-,+,+,Distress
VEDL,Mar-15,-,+,+,Distress
VEDL,Mar-16,-,+,+,Distress
VEDL,Mar-17,-,+,+,Distress
VEDL,Mar-18,-,+,+,Distress
VEDL,Mar-19,-,+,+,Distress
VEDL,Mar-20,-,+,+,Distress
VEDL,Mar-21,-,+,+,Distress
VEDL,Mar-22,-,+,+,Distress
VEDL,Mar-23,-,+,+,Distress
VEDL,Mar-24,-,+,+,Distress
WIPRO,Mar-13,-,+,+,Distress
WIPRO,Mar-14,-,+,+,Distress
WIPRO,Mar-15,-,+,+,Distress
WIPRO,Mar-16,-,+,+,Distress
WIPRO,Mar-17,-,+,+,Distress
WIPRO,Mar-18,-,+,+,Distress
WIPRO,Mar-19,-,+,+,Distress
WIPRO,Mar-20,-,+,+,Distress
WIPRO,Mar-21,-,+,+,Distress
WIPRO,Mar-22,-,+,+,Distress
WIPRO,Mar-23,-,+,+,Distress
WIPRO,Mar-24,-,+,+,Distress
ZOMATO,Mar-20,-,+,+,Distress
ZOMATO,Mar-21,-,+,+,Distress
ZOMATO,Mar-22,-,+,+,Distress
ZOMATO,Mar-23,-,+,+,Distress
ZOMATO,Mar-24,-,+,+,Distress
ZYDUSLIFE,Mar-13,-,+,+,Distress
ZYDUSLIFE,Mar-14,-,+,+,Distress
ZYDUSLIFE,Mar-15,-,+,+,Distress
ZYDUSLIFE,Mar-16,-,+,+,Distress
ZYDUSLIFE,Mar-17,-,+,+,Distress
ZYDUSLIFE,Mar-18,-,+,+,Distress
ZYDUSLIFE,Mar-19,-,+,+,Distress
ZYDUSLIFE,Mar-20,-,+,+,Distress
ZYDUSLIFE,Mar-21,-,+,+,Distress
ZYDUSLIFE,Mar-22,-,+,+,Distress
ZYDUSLIFE,Mar-23,-,+,+,Distress
ZYDUSLIFE,Mar-24,-,+,+,Distress
